time,position_x,velocity_x,position_y,velocity_y,angular_velocity_z
1496.25,0.0018979754649856974,1.1177405961249827e-05,-5.4514255049246747e-08,0.0,-4.9742866303204194e-09
1496.35,0.0018990932513584262,1.1178321463139137e-05,-5.454657053783487e-08,0.0,-4.973556941830736e-09
1496.45,0.0019002111292814182,1.1179236967554145e-05,-5.457888922901515e-08,0.0,-4.97282718488198e-09
1496.55,0.001901329098755364,1.1180152480316222e-05,-5.461121112281694e-08,0.0,-4.972097842302101e-09
1496.65,0.0019024471597804508,1.1181067992907013e-05,-5.464353621925476e-08,0.0,-4.971368440302381e-09
1496.75,0.0019035653123575544,1.11819835164443e-05,-5.4675864518363546e-08,0.0,-4.970638924112301e-09
1496.85,0.001904683556486861,1.1182899040773352e-05,-5.47081960201584e-08,0.0,-4.9699096868889385e-09
1496.95,0.001905801892169069,1.1183814571517542e-05,-5.4740530724668294e-08,0.0,-4.9691802866268925e-09
1497.05,0.0019069203194046146,1.1184730106648909e-05,-5.4772868631915663e-08,0.0,-4.968451300323074e-09
1497.15,0.0019080388381941251,1.1185645649418155e-05,-5.480520974192816e-08,0.0,-4.9677223689095765e-09
1497.25,0.0019091574485379976,1.1186561196019706e-05,-5.48375540547261e-08,0.0,-4.966993782706959e-09
1497.35,0.0019102761504367868,1.118747674715618e-05,-5.4869901570335195e-08,0.0,-4.9662650713751855e-09
1497.45,0.0018539558670868411,-0.0014511308157526672,-5.328085341543401e-08,0.0,1.8601609719944523e-05
1497.55,-0.00605784585476567,-0.12412366553220817,2.9332556922448764e-05,0.0,-0.03608043246702303
1497.65,-0.03740265341435483,-0.34568894144029005,0.0009961412910943286,0.0,-0.17472298639398037
1497.75,-0.0731848246451744,-0.36258372395434496,0.0035646152432286904,0.0,-0.265598403851639
1497.85,-0.10794337301932753,-0.35337772137088064,0.007307217622532193,0.0,-0.31645376395745056
1497.95,-0.14057930437916422,-0.3299538558400178,0.012058652058239486,0.0,-0.351997385808875
1498.05,-0.1726595779025684,-0.3386873589129787,0.017928381498967652,0.0,-0.374246769543245
1498.15,-0.20986449391329381,-0.3973481259004463,0.025903422707398968,0.0,-0.3689057170176026
