time,position_x,velocity_x
1721457004.25551,-1.02111467603945,-0.000459731143164
1721457005.2561,-1.02113528951327,-5.63753532474211E-06
1721457006.27624,-1.02116142866759,-0.00012349333943
1721457007.27671,-1.02121139391994,-0.000223914205743
1721457008.2776,-1.02132079728938,-0.000178772683044
1721457009.27874,-0.884751839019259,-0.082635597643457
1721457010.29793,-1.17715779340505,-0.505980270974418
1721457011.2994,-1.46775172686629,-0.508335581175719
1721457012.30021,-1.56922378733677,-0.424839900852203
1721457013.30072,-1.76894237131982,-0.453565611443358
1721457014.30192,-2.00328193114606,-0.049131601901005
1721457015.30218,-2.15898538846477,-0.454073590813395
1721457016.30231,-2.31310439029917,-0.502766294286407
1721457017.30253,-2.4391550987154,-0.501242888647394
1721457018.30457,-2.5181272547362,-0.502909023500751
1721457019.32437,-2.56092346411758,-0.351516520285414
1721457020.32468,-2.64019636971875,-0.500465691843925
1721457021.32613,-2.67913201337796,-0.476619274564776
1721457022.32625,-2.7781089118002,-0.500798946771266
1721457023.32744,-2.87869628366274,-0.50266488877732
1721457024.34778,-2.89115115083113,-0.473815468661618
1721457025.34848,-2.82600912114582,-0.501081637565824
1721457026.34966,-2.7258116789176,-0.465748045030687
1721457027.34981,-2.56902622151454,-0.386523334111408
1721457028.35077,-2.43412614901229,-0.081752136254955
1721457029.3515,-2.12093085169809,-0.41025556968289
1721457030.35189,-1.87105798447518,-0.448962955665896
1721457031.37203,-1.54218249329584,-0.477969786021804
1721457032.37384,-1.13280532661985,-0.456631046493943
1721457033.39393,-0.673778513453917,-0.500248572996513
1721457034.39486,-0.192798906490651,-0.501873033960195
1721457035.3949,0.299194655403217,-0.501888872405835
1721457036.39641,0.671991511758584,-0.50068128959485
1721457037.41603,1.12250037781163,-0.024634962100062
1721457038.4163,1.40940876148644,-0.479072750309194
1721457039.41687,1.62471737856654,-0.470606559715072
1721457040.41884,2.09213327292886,-0.504626740929307
1721457041.439,2.56177959051237,-0.509117641187348
1721457042.4392,2.95461106411452,-0.50121261737037
1721457043.4404,3.39362832126092,-0.471209406552118
1721457044.46092,3.61326552127394,-0.48716044465376
1721457045.46096,3.96356993956823,-0.033261036780523
1721457046.46131,4.37788160814381,-0.501877083217166
1721457047.4629,4.77048877311011,-0.477992100227744
1721457048.46308,5.19421246497239,-0.490403863648756
1721457049.46392,5.51264381196065,-0.425296430231458
1721457050.48381,5.73567802546593,-0.499800841122828
1721457051.48488,5.91186176869415,-0.424014351952972
1721457052.48605,5.98638451782411,-0.450607179556396
1721457053.48637,5.96749140114279,-0.500689383585521
1721457054.48645,5.91068207485105,-0.504031543772788
1721457055.48742,5.81692979952681,-0.500996425014219
1721457056.5076,5.72301071017467,0.006677432252759
1721457057.50944,5.64506838526695,-0.502739773067004
1721457058.51042,5.49009053237134,-0.501893152694846
1721457059.51068,5.32909641812972,-0.500194565267073
1721457060.53067,5.13081783896102,-0.468361043103706
1721457061.53128,4.91357614781683,-0.49791337959853
1721457062.53157,4.72825624887225,-0.387420913781978
1721457063.53222,4.54759593980953,-0.499746973803861
1721457064.53249,4.32361350010446,-0.471925338474417
1721457065.53366,4.05537785787936,-0.500797124949249
1721457066.53413,3.76869634685482,-0.501939541726915
1721457067.53446,3.44859431568984,-0.500690538312926
1721457068.53575,3.12096240990655,-0.450682136727557
1721457069.55569,2.72482184136205,-0.439737842393456
1721457070.55747,2.36584388568902,-0.170585406427684
1721457071.57719,2.21396127891611,-0.396582903509871
1721457072.57847,1.71753725837701,-0.502199093403018
1721457073.58013,1.38671023528322,-0.107923074240533
1721457074.59966,0.913543145843778,-0.501709579746622
1721457075.60008,0.416915807194297,-0.492004951126133
1721457076.60095,-0.079024430226162,-0.470216536231375
1721457077.60164,-0.564385465130124,-0.501763862006491
1721457078.60189,-1.06447248861134,-0.499759428937812
1721457079.60377,-1.56319219924676,-0.499187343102487
1721457080.62362,-1.9632116116891,-0.365103057817246
1721457081.62419,-2.28796405692154,-0.460489768129426
1721457082.62431,-2.68427692494423,-0.501111989491303
1721457083.62462,-3.02722763141259,-0.46380476190693
1721457084.62637,-3.38929522580167,-0.432228901215704
1721457085.64715,-3.73011719735588,-0.500793185027744
1721457086.66708,-4.0926814647136,-0.491700781535952
1721457087.66825,-4.43715192740378,-0.476871416737623
1721457088.66913,-4.82243551171898,-0.498836695183066
1721457089.6893,-5.21034784632034,-0.502019846758693
1721457090.68975,-5.57342876113512,-0.499357070060383
1721457091.68998,-5.90705483488681,-0.147940054932095
1721457092.69148,-6.29171967678946,-0.466113289121865
1721457093.69157,-6.65597960598366,-0.010497829059517
1721457094.6927,-7.03770474895451,-0.490474320787556
1721457095.71254,-7.34481970611409,-0.432033037292507
1721457096.71425,-7.68398006077821,-0.499937618309705
1721457097.71457,-8.05588924422704,-0.50068918337498
1721457098.73472,-8.4572186705874,-0.469449469857652
1721457099.73518,-8.88746876959085,-0.499982097805446
1721457100.73624,-9.3297020760001,-0.502801861856358
1721457101.73663,-9.41475434718663,0.005521498008446
1721457102.73774,-9.41489971180565,0.00287896130042
1721457103.73954,-9.41502934193479,0.001472282482331
