time,position_y,velocity_y
1721457004.25551,8.71138452948835,0
1721457005.2561,8.71135489541214,0
1721457006.27624,8.71131755797168,0
1721457007.27671,8.71124615575634,0
1721457008.2776,8.71108981693118,0
1721457009.27874,8.90250007783963,0
1721457010.29793,8.53679585974205,0
1721457011.2994,8.14957120223903,0
1721457012.30021,7.97305237443059,0
1721457013.30072,7.53633360248342,0
1721457014.30192,7.16361749327028,0
1721457015.30218,6.89082585250622,0
1721457016.30231,6.44562409595295,0
1721457017.30253,5.96320411651439,0
1721457018.30457,5.46777760413152,0
1721457019.32437,5.05679322987866,0
1721457020.32468,4.57734654210863,0
1721457021.32613,4.22037720280409,0
1721457022.32625,3.740409894889,0
1721457023.32744,3.24963265961634,0
1721457024.34778,2.76484287629213,0
1721457025.34848,2.37181857374149,0
1721457026.34966,1.89434218841161,0
1721457027.34981,1.49825637488438,0
1721457028.35077,1.29675672453764,0
1721457029.3515,0.992940502681242,0
1721457030.35189,0.638333874316619,0
1721457031.37203,0.323890194568115,0
1721457032.37384,0.077044568599384,0
1721457033.39393,-0.075488530321163,0
1721457034.39486,-0.211668832883338,0
1721457035.3949,-0.308251615574009,0
1721457036.39641,-0.336031923560576,0
1721457037.41603,-0.35098489502345,0
1721457038.4163,-0.342395200138722,0
1721457039.41687,-0.314312025794423,0
1721457040.41884,-0.174222499334973,0
1721457041.439,0.027667154966038,0
1721457042.4392,0.230215773081473,0
1721457043.4404,0.459790947711379,0
1721457044.46092,0.594103528664591,0
1721457045.46096,0.809580286636349,0
1721457046.46131,1.03316649461541,0
1721457047.4629,1.22136371583601,0
1721457048.46308,1.4757771795558,0
1721457049.46392,1.78212883051213,0
1721457050.48381,2.16281797673265,0
1721457051.48488,2.60694048271321,0
1721457052.48605,3.07657885182413,0
1721457053.48637,3.55674715315562,0
1721457054.48645,4.05313775657235,0
1721457055.48742,4.48649408265358,0
1721457056.5076,4.88485868958999,0
1721457057.50944,5.16615117006832,0
1721457058.51042,5.63677317947724,0
1721457059.51068,6.11022751510554,0
1721457060.53067,6.5723728008896,0
1721457061.53128,7.01927424859219,0
1721457062.53157,7.46926015851641,0
1721457063.53222,7.84470519097724,0
1721457064.53249,8.28609157773569,0
1721457065.53366,8.68809412970239,0
1721457066.53413,9.0851997945911,0
1721457067.53446,9.47006281115883,0
1721457068.53575,9.82099871532869,0
1721457069.55569,10.1102470940751,0
1721457070.55747,10.2611640510985,0
1721457071.57719,10.2784158489115,0
1721457072.57847,10.2584320795166,0
1721457073.58013,10.2635119349811,0
1721457074.59966,10.2479425976458,0
1721457075.60008,10.204419310544,0
1721457076.60095,10.1724626555185,0
1721457077.60164,10.2041163998687,0
1721457078.60189,10.2253772012151,0
1721457079.60377,10.2611672233684,0
1721457080.62362,10.2567584434717,0
1721457081.62419,10.1397308261595,0
1721457082.62431,9.86486070097885,0
1721457083.62462,9.61309294538671,0
1721457084.62637,9.33286962208461,0
1721457085.64715,8.96470023091601,0
1721457086.66708,8.61998407029678,0
1721457087.66825,8.30513944272585,0
1721457088.66913,7.9971909836592,0
1721457089.6893,7.68978078204401,0
1721457090.68975,7.36853693300123,0
1721457091.68998,7.07059950481973,0
1721457092.69148,6.81601605503469,0
1721457093.69157,6.62371563546537,0
1721457094.6927,6.40573679013574,0
1721457095.71254,6.18110814991943,0
1721457096.71425,5.84137660272529,0
1721457097.71457,5.51679299303142,0
1721457098.73472,5.22421114097214,0
1721457099.73518,4.99366461393466,0
1721457100.73624,4.75886618399703,0
1721457101.73663,4.71378688087648,0
1721457102.73774,4.71369702860636,0
1721457103.73954,4.71362370267057,0
